,y_return_ratio,TensorFlow__diff_1_shift_4,deep learning__diff_1_shift_4,Artificial Intelligence__diff_1_shift_19,Machine Learning__diff_1_shift_4,neural network__diff_1_shift_9,MXNet__diff_1_shift_9,blockchain_news_diff_1_shift_4,GPU_news_diff_1_shift_17,gaming_news_diff_1_shift_2,SandP_diff_1,NasdaqTech_diff_1,ATVI_gaming_diff_1,TTWO_gaming_diff_1,UBSFY_gaming_diff_1,fps_transformed_ffill_diff_1_shift_2,fps_transformed_interpolated_diff_1_shift_2,fps_interpolated_transformed_diff_1_shift_2,PLUS_DM_diff_1,MINUS_DM_diff_1_shift_8,AD_diff_1,OBV_diff_1,MIDPOINT_diff_1,MIDPRICE_diff_1,SAR_diff_1_shift_13,TEMA_diff_1,AVGPRICE_diff_1,MEDPRICE_diff_1,TYPPRICE_diff_1,WCLPRICE_diff_1,LINEARREG_diff_1,TSF_diff_1,ADD_diff_1,MAX_diff_1,MAXINDEX_diff_1,MIN_diff_1,MININDEX_diff_1_shift_19,MULT_diff_1,ATAN_diff_1,CEIL_diff_1,FLOOR_diff_1,LN_diff_1,LOG10_diff_1,SQRT_diff_1,ATVI_gaming_rr,TTWO_gaming_rr,AMD_rr,SandP_rr,NasdaqTech_rr
2016-11-21,-0.004070244172341006,0.2999999999999972,0.3999999999999844,0.09677419354837724,0.20000000000000995,-0.2999999999999972,1.0,0.3000000000000007,0.0,-0.033333333333317235,1.5098880000000463,11.260131500000167,-0.3500009999999989,0.484998499999989,0.23999999999999844,0.0,-2.258204186449315e-06,-2.2439772111436285e-06,-1.7251908103639977,-0.4304402296450601,3358436.8197380304,14401500.0,0.4850010000000964,0.0,0.5180167787441974,2.5125857578419897,0.4350012499999991,0.3450010000000105,0.5533346666667001,0.6575014999999951,3.7017150285714138,4.027253637362591,0.6900020000000211,0.9700019999999938,1.0,0.0,0.0,66.78068635999989,0.00011244404772980945,1.0,1.0,0.010444261830549806,0.004535885280559926,0.05032626511345839,-0.008859663445888639,0.01017514926727886,0.07015384615384619,0.0006917000925525105,0.003997703615918297
2016-11-22,0.0072058397330876,0.10000000000000142,0.13333333333333994,0.03225806451613522,0.06666666666666288,-0.10000000000000853,0.3333333333333428,0.09999999999999787,0.0,-0.033333333333317235,7.929932000000008,14.704956000000038,-0.6499974999999978,-0.3499999999999943,0.01999999999999957,-9.032816745797206e-06,-2.258204186449261e-06,-2.216443902903944e-06,-1.5819668953380983,1.38030450104388,-4420288.828592956,-10910900.0,0.0,0.0,0.4765754364446053,2.08986070698289,0.4849985000000032,0.3099974999999944,0.07999900000000082,-0.035000249999995965,2.668286914285688,2.8158255604394924,0.6199949999999887,0.0,0.0,0.0,1.0,58.44553730998996,-4.377043668979397e-05,-1.0,-1.0,-0.004078550162079253,-0.001771291829549826,-0.01968400599083964,-0.016600626354257117,-0.007268951269667081,0.02415181138585384,0.003630297911301864,0.005199937700705523
2016-11-23,0.003416967358954202,0.10000000000000142,0.13333333333333286,0.032258064516128115,0.06666666666666997,-0.09999999999999433,0.3333333333333144,0.10000000000000142,0.0,-0.03333333333334565,9.945067999999992,14.62500050000017,-0.7050020000000004,-0.13500050000001096,0.010000000000000677,0.0,-4.373498771119519e-06,-5.067131393493941e-06,-1.4889652599568033,1.4617113223978808,7166119.975499988,8259200.0,0.14500049999999476,0.0,5.480617519113494,1.9059884238648976,-0.18749975000000066,-0.3150025000000056,0.013331333333297836,0.1774982499999993,2.115429371428604,2.1673635604396253,-0.6300050000000113,0.2900010000000037,2.0,0.0,1.0,-58.23926987999039,7.693552720988706e-05,1.0,1.0,0.007180001718769979,0.0031182351265099943,0.03467920416099979,-0.0183093619449588,-0.002824278272220713,-0.0039303761931497325,0.004536352518683287,0.0051449107780861215
2016-11-25,0.002021953793530388,0.10000000000000142,0.13333333333333286,0.03225806451612101,0.06666666666666997,-0.10000000000000853,0.3333333333333428,0.10000000000000142,0.0,-0.10000000000002274,-0.6149900000000343,-7.2449955000001856,-0.8950005000000019,0.2850000000000108,-0.11000000000000032,0.0,-4.373498771119465e-06,-4.9251612515938624e-06,0.12739140146869946,-0.6026956292019605,-356235.3674570322,11044000.0,0.15999949999999785,0.22999950000000524,-0.1261999599999939,1.6782091187550918,0.6599997499999972,0.9500010000000004,0.7400003333333984,0.6349999999999909,1.3722858285713926,1.2975825274722863,1.9000020000000009,0.3199989999999957,1.0,0.0,1.0,176.64148023000052,3.635818970004756e-05,0.0,0.0,0.0034111427904495173,0.0014814404908798373,0.016519397818882453,-0.02367726253114456,0.0059792301684515065,-0.012401352874859007,-0.00027925530707232797,-0.002535662220915631
2016-11-28,-0.0005310428831333078,0.10000000000000142,0.13333333333333994,0.032258064516128115,0.06666666666666288,-0.09999999999999433,0.3333333333333428,0.09999999999999787,0.0,-0.033333333333317235,8.175048999999943,4.9000245000002005,0.4300025000000147,0.7400015000000053,0.09999999999999963,0.0,-4.373498771119465e-06,-4.78844559677837e-06,-1.391709984350399,-0.55964594140183,-549646.7238350511,4889100.0,0.1950000000000074,0.09000000000000341,-0.24975180159999866,1.4525525017157292,0.3450012500000099,0.24500250000001245,0.2266693333332909,0.2175027500000084,0.6222866857143146,0.42582525274700345,0.4900050000000249,0.1900030000000044,1.0,0.26000299999999754,2.0,46.94897932998902,2.147116841011432e-05,1.0,1.0,0.002019912396240109,0.0008772368076199745,0.009795271593979749,0.01165160594709182,0.015432774044479087,0.00285388127853865,0.0037131717849998866,0.0017193098614547565
2016-11-29,-0.00913825301096317,0.2999999999999972,0.3999999999999844,0.09677419354839144,0.20000000000000995,-0.2999999999999972,1.0,0.3000000000000007,-0.3333333333333428,-0.033333333333317235,-3.8450929999999066,6.069946499999786,0.03499799999998743,0.15499899999999656,-0.054999999999999716,0.0,-4.373498771119519e-06,-4.656743565737754e-06,-1.292302128325499,-0.5196712313016905,-733479.1136839391,-6968400.0,0.0,0.0,-0.2397617295359993,1.2094896547077951,-0.19250100000000714,-0.08500300000009986,-0.0733363333333017,-0.06750300000010158,0.3782853714284897,0.18549406593399453,-0.17000600000099553,0.0,0.0,0.0,0.0,-15.627570259988715,-5.642152330009864e-06,0.0,0.0,-0.0005311839363404404,-0.0002306902524300547,-0.002576858077819821,0.000937404555044405,0.003183384645888506,-0.0011383039271485244,-0.0017400106331943827,0.002126154012157989
2016-11-30,-0.01126008579088476,0.10000000000000142,0.13333333333333994,0.03225806451613522,0.06666666666665577,-0.10000000000000853,0.3333333333333144,0.10000000000000142,-0.3333333333333144,-0.06666666666667709,-3.255004999999983,-2.255004999999983,0.25500100000000003,0.4950005000000033,0.024999999999998586,0.0,-4.373498771119519e-06,-4.529827423986068e-06,-1.1999948334451016,-0.4825518576372891,-2734909.37668705,-11114200.0,0.0,0.0,-0.2301712603545951,0.8485185457949029,-0.5249997499999921,-0.6849974999999091,-0.7433319999999952,-0.7724992499998962,-0.5111425714284792,-0.8325270989009965,-1.3699949999990224,0.0,0.0,0.8599999999999994,4.0,-129.1303327000096,-9.798618545997506e-05,-1.0,-1.0,-0.009180262972639852,-0.00398693755143964,-0.04442696668367141,0.0068236822805373895,0.0101341079960499,0.0216524216524216,-0.0014755470055819475,-0.0007881973483767514
2016-12-01,-0.04945768056803725,0.10000000000000142,0.13333333333333286,0.03333333333333144,0.06666666666666997,-0.09999999999999433,0.3333333333333428,0.09999999999999787,-0.3333333333333428,-0.10000000000000853,-0.8199460000000727,-7.589966000000004,-0.28999899999998746,0.2999994999999984,0.0050000000000016715,0.0,-4.373498771119465e-06,-4.407481738495368e-06,-1.1142809167703969,-0.4480838678060515,-9943339.048527002,-11012500.0,0.0,0.0,-0.22096440994040734,0.4976186685563988,-0.5400010000001032,-0.35499949999999103,-0.5866673333333949,-0.7025012500000116,-1.5837153714286245,-2.071759472527006,-0.7099989999999821,0.0,0.0,0.0,0.0,-66.39711054000145,-0.00012211254429028706,-1.0,-1.0,-0.011323960499339591,-0.004917933558149956,-0.05452100680384042,-0.007707614617939866,0.006080249290636368,0.0,-0.0003722441967020608,-0.002655031851270764
2016-12-02,0.009242332373828452,0.19999999999999574,0.2666666666666728,0.033333333333338544,0.13333333333333286,-0.09999999999999433,0.3333333333333428,0.1999999999999993,-1.0,-0.03333333333333144,-6.2650149999999485,-63.99499500000002,-1.2199990000000085,-1.5249995000000145,-0.15000000000000036,0.0,-4.373498771119519e-06,-4.289502609385981e-06,-1.0346894227154024,-0.4160778772484788,-5807319.260591984,-25888100.0,7.935001,5.869998999999992,-5.3031458385689945,-0.44554317524081455,-3.8450012499999957,-4.660003500000017,-4.626668333333298,-4.6100007499999975,-3.704572228571493,-4.4928580879121975,-9.320007000000034,0.0,0.0,1.0700000000000074,0.0,-858.8857261299901,-0.0005642578269096088,-5.0,-5.0,-0.05072259470763018,-0.02202854298934009,-0.2404592137449182,-0.032677084969142366,-0.030721182823541606,-0.034578918014500686,-0.0028452897089866445,-0.0224455635372162
2016-12-05,0.03877897248543725,0.30000000000000426,0.3999999999999986,0.03333333333333144,0.19999999999999574,-0.10000000000000853,0.3333333333333144,0.3000000000000007,-0.3333333333333286,-0.03333333333334565,-4.089966000000004,-38.85498049999978,-0.4300025000000076,-0.8800014999999917,-0.13999999999999968,0.0,-4.373498771119438e-06,-4.175696955974953e-06,-0.9607830353784994,-0.3863580288735804,9682774.59576106,11957300.0,0.0,2.5600014999999985,0.1799999999999926,-0.29514233106517906,-2.014997249999908,-1.5099944999999906,-0.7366636666667006,-0.34999824999999873,-1.1782865142857022,-1.364836043956089,-3.0199889999999816,0.0,0.0,0.0,0.0,-254.59393218999958,0.00010447869438978684,1.0,1.0,0.009199883371370454,0.00399545858233985,0.04316211878269805,-0.011906478642864078,-0.01828954587966299,-0.023108030040439168,-0.001862779846285228,-0.013940881912364814
